Strategic Objectives,Strategic Objectives,Key Activities,Output Indicators,Target,Timelines,,,,
,,,,,Y1,Y2,Y3,Y4,Y5
KRA 1: Sugar production and productivity,To facilitate an increase in national average sugarcane yield to 80 TCH by 2030,"1.1.1 Identify, establish and equip regional bulking centres each catchment zone",No. of bulking centres,15,5,3,2,3,2
,,,,,,,,,
,,2.1.1 Create formal linkages between millers and KESRETI for access to clean,No. of linkage agreements signed,16,_,16,_,_,_
,,,,,,,,,
,,1.2.1 Establish demonstration centres and learning hubs,No. of demo sites,10,4,4,2,_,_
,,,,,,,,,
,,1.2.2 Develop and deploy digital weather and climate advisory services,% of farmers receiving timely weather advisories,95,_,95,95,95,95
,,,,,,,,,
,,Develop and establish partnerships between out- grower institutions and climate-aware organizations supporting irrigation and soil resilience,No. of partnerships,8,_,2,2,2,2
,,,,,,,,,
,,"1.2.4 Develop and disseminate multimedia content: video documentaries, farmer testimonials, animated explainers",No. of digital content disseminated,25,5,5,5,5,5
,,,,,,,,,
,,"1.2.5 Deploy e-extension services via mobile phones,SMS, WhatsApp, Miwa
 Bora and SugarVISTA",% of farmers reached through digital extension,95,_,95,95,95,95
,,,,,,,,,
,,1.2.6 Monitor adoption of GAPs and climate smart technologies via field inspections,Annual GAP adoption rate reports published,4,_,1,1,1,1
,,"1.1.1 Identify and validate mill- zone-appropriate tillage systems (minimum tillage, reduce-tillage,conventional)",No. of mill-zones with validated tillage recommendations,15,3,3,3,3,3
,,2.1.1 Monitor uptake and yield results from alternativetillage methods,Annual yield vs tillage reports,5,1,1,1,1,1
,,1.4.1 Roll out satellite-basedfield mapping via SugarVISTA,No. of farms digitized and geo-referenced (‘000),300,150,150,_,_,_
,,"1.4.2 Develop zone-specific agronomic advisories (e.g. planting time, fertilizer needs) based on geospatial and weather data",No. of advisories issued per season,16,_,_,_,_,_
,,Identify and screen viable farmer organizations for mechanization support,No. of screened and approved groups,50,10,10,10,10,10
,,"Identify and field-test appropriate innovations (planters, sprayers,weeding tools)",No. of innovations tested and approved,5,1,1,1,1,1
,,1.6.2 Support local fabrication and business incubation forinnovations,No. of fabrication units supported,10,2,2,2,2,2
,,1.6.3 Integrate validated tools into farmer training programs,No. of farmers up-taking tools,3000,_,750,750,750,750
,,,,,,,,,
,Strategic Objective 2: To promote growth and efficiency in national sugar production,Develop and gazette the regulatory framework for QBCPS,No. of frameworks,1,1,_,_,_,_
,,2.1.2 Conduct industry-wide sensitization forums forgrowers and millers,No. of stakeholders sensitized (‘000),100,20,20,20,20,20
,,2.1.3 Develop integration API between CTUs (LIMS) and mill ERPs,No. of Mills with LIMS-ERP integrations in place,16,_,_,_,_,_
,,2.2.2 Enforce recovery-based licensing - as part of the performance-based licensing framework - and compliance audits,No. of compliant mills,16,16,16,16,16,16
,,,,,,,,,
KRA 2: Effective industry regulation,To create an enabling legal and regulatory framework for the sugar industry;,3.1.1 Develop sugar regulations and policies,No. of regulations and policies developed,2,1,1,_,_,_
,,3.1.2 Review existing sugar regulations and policies,No. of regulations and policies reviewed,5,1,1,1,1,1
,,"3.1.3 Harmonize sugar regulations and policies with regional and international regulations
 and policies",No. of sugar regulation and policies harmonized,4,_,1,1,1,1
,,3.1.4 Lobby for gazettement/ publishing of regulations in collaboration with otherstakeholders,No. of regulations published/gazetted,3,2,1,_,_,_
,,,,,,,,,
,To establish a robust compliance and enforcement system,4.1.1 Develop industry standards and codes of practice and their customized manuals for sugar in collaboration with relevant stakeholders.,No. of standards and codes of practice developed,5,1,1,1,1,1
,,4.1.2 Sensitize value chain players on standards and codes of practice,No. of sensitization forums,10,2,2,2,2,2
,,4.1.3 Carry out regular compliance audits and assessments on sugar industry players on standards and codes of practice,No. of compliance audits,60,12,12,12,12,12
,,4.1.4 Review sugar industry standards and codes of practice,No. of standards reviewed,4,_,1,1,1,1
,,4.2.1 Conduct routine inspections and surveillance across the value chain,No. of surveillance and inspections conducted,100,20,20,20,20,20
,,4.2.2 Integrate licensing data with other regulatory systems for inspection and compliance monitoring,No. of data system integrated,3,1,1,1,_,_
,,4.2.3 Undertake continuous intelligence gathering,No. of intelligence reports,60,12,12,12,12,12
,,,,,,,,,
"KRA 3: Research, partnerships and industry diversification",,5.1.1 Develop and implement policy-relevant data systems,No. of predictive and simulation models developed,4,1,1,1,1,_
,,5.1.2 Publish and circulate Sugar Industry Yearbook of Statistics,No. of publications,5,1,1,1,1,1
,,5.1.3 Undertake Geographic Information System (GIS) and Remote Sensing (RS)- enabled sugarcane availability survey,No. of cane availability survey reports,5,1,1,1,1,1
,,5.2.1 Establish a Centralized Remote Sensing and GIS data hub,No. of data hubs,1,1,_,_,_,_
,,"5.2.2 Rollout GIS, remote sensing, and AI analytics in sugarcane mapping and yield prediction",No. of reports on mapping and yield prediction,20,4,4,4,4,4
,,5.2.3 Undertake Near-Real-Time (NRT) monitoring of sugarcane farms,% coverage of the area under sugarcane,100,20,20,20,20,20
,,6.1.1 Develop and implement strategy for promoting cogeneration activities,Approved cogeneration strategy,1,_,1,_,_,_
,,,No. of implementation monitoring reports,6,_,_,2,2,2
,,6.1.2 Develop and implement a strategy for promoting the sugar beet value chain,Approved sugar beet value chain development strategy,1,_,1,_,_,_
,,,No. of implementation monitoring reports,8,_,2,2,2,2
,,6.1.3 Develop and implement an ethanol promotion master plan,Approved ethanol promotion master plan,1,1,_,_,_,_
,,,No. of implementation monitoring reports,8,_,2,2,2,2
,,6.2.1 Map and profile viable export markets for Kenyan sugar to inform trade readiness and market entry strategies,No. of viable export markets,3,_,_,1,1,1
,,6.2.2 Participate in bilateral and regional trade negotiations to present the industry's position on trade issues,No. of trade negotiation meetings attended,15,3,3,3,3,3
,,"6.2.3 Establish a multi- stakeholder sugar industry marketing caucus to coordinate strategic market interventions, policy alignment, and trade
 promotion efforts",No. of caucus meetings held,10,2,2,2,2,2
,,"6.2.4 Undertake a baseline study to quantify informal trade volumes, routes, and actors to identify formalization opportunities/mitigation measures","No. of baseline survey
 reports",1,,_,_,_,_
,,,No. of implementation monitoring reports,4,_,1,1,1,1
,,"6.2.5 Establish a regional sugar trade intelligence platform in collaboration with customs agencies, trade associations, regional trade bodies, and the private sector for trade data validation",No. of trade intelligence reports,36,_,_,12,12,12
,,"6.2.6 Set up an investment desk to facilitate and streamline investor onboarding by showcasing high-potential opportunities, fiscal incentives, and an investment decision support system",No. of investment desks,1,1,-,-,-,-
,,,Annual investment reports,5,1,1,1,1,1
,,,No. of investment decision support systems,1,-,1,-,-,-
,,"6.3.1 Develop and implement a strategy to institutionalize Science, Technology, and Innovation (STI)",No. of STI initiatives implemented,10,2,2,2,2,2
,,6.3.2 Conduct a gap analysis to identify critical research areas,No. of gap analysis report,1,1,-,-,-,-
,,6.3.3 Establish strategic collaborations for promoting research and innovation in the sugar value chain,No. of active collaboration frameworks,10,2,2,2,2,2
,,,,,,,,,
,"To enhance institutional governance, resilience and performance of sugarcane farmers’ organizations;",7.1.1 Develop and implement an Out-grower Operations Manual,Approved out-grower operation manual,1,1,1,1,1,1
,,,Annual compliance audit reports,5,1,1,1,1,1
,,7.1.2 Develop and maintain a register of sugarcane farmers’ organizations,Annual update of farmer organization register,5,1,1,1,1,1
,,7.1.3 Build capacity of sugarcane growers’ organizations for increased coordination and participation in the value chain,No. sensitized/trained organizations adopting structured business models/plans,17,17,17,17,17,17
,,,,,,,,,
KRA 4: Industry sustainability,"To promote an environmentally responsible, socially inclusive and well-governed sugar industry value chain;",8.1.1 Develop ESG scorecards for industry players as part of annual performance reviews.,No. of ESG scorecard,1,1,-,-,-,-
,,8.1.2 Sensitize industry players on the ESG scorecard,No. of sensitization forums,36,20,4,4,4,4
,,8.1.3 Conduct annual compliance audit on ESG scorecard,Annual compliance audit reports on ESG standards,4,-,1,1,1,1
,,8.1.4 Build capacity of women and youth to participate in sugar crop farming and agro-processing,No. of capacity-building programs undertaken,25,5,5,5,5,5
,,"8.1.5 Establish a sugar industry code of conduct on labour rights, occupational safety, child labour awareness and community engagement",No. of awareness campaigns conducted in mill zones annually,26,-,10,4,4,4
,,,Annual compliance audit reports,4,-,1,1,1,1
,,8.1.6 Integrate princip across the sugar value chainles of sustainable practices,No. of projects under sustainable practices implemented in the industry,5,1,1,1,1,1
,,Implement a traceability system for the sugar industry,% of the value chain players sensitized and trained on the system,100,-,25,25,25,25
,,,% of farms/processors/ packers on onboarded into the system,50,-,5,10,15,20
,,Establish a Climate Change Information and Learning hub for the industry,,,,,,,
