KRA,Strategic Objective ,Activities,KPI / Indicator,Baseline,Target,Y1,Y2,Y3,Y4,Y5,
KRA 1: Production & Productivity,Strategic Objective 1: Improve average sugarcane yield from 61 TCH to 80 TCH,Promote modern agronomic practices,Average cane yield (TCH),61 TCH,80 TCH,65,69,73,77,80,
,,Train farmers on soil health & fertility,% farmers trained,0%,80%,20%,40%,60%,70%,80%,
,,Distribute improved farm inputs,% farms with soil test reports,0%,70%,10%,30%,50%,60%,70%,
,,,,,,,,,,,
,Strategic Objective 2: Reduce Cost of Production per Hectare by 20%,Bulk procurement of inputs,Average cost per hectare (KES) – % reduction,0%,20% reduction,5%,10%,15%,18%,20%,
,,Introduce mechanized planting & harvesting,% farms mechanized,TBD,+25pp,+5pp,+10pp,+15pp,+20pp,+25pp,
,,Optimize irrigation systems,% irrigated farms,TBD,30%,5%,10%,15%,20%,30%,
,Strategic Objective 3. Increase adoption of improved sugarcane varieties from 10% to 25%,Distribute certified improved seed cane,% area under improved varieties,10%,25%,12%,15%,18%,21%,25%,
,,Partner with research institutions,No. of new varieties introduced,0,3,1,1,1,0,0,
,,Conduct field demonstrations,No. of demo plots,0,20,4,4,4,4,4,
,,,,,,,,,,,
,Strategic Objective 4: Operationalize Cane Testing Units (CTUs) by Dec 2027,Procure and install CTU equipment,% CTUs operational,0%,100%,20%,60%,100%,100%,100%,
,,Train CTU staff,No. staff trained,0,50,15,20,15,0,0,
,,Develop CTU SOPs,Approved SOPs (Yes/No),No,Yes,No,Yes,Yes,Yes,Yes,
