month,year,butali,chemelil,muhoroni,kibos,westKenya,nzoia,kwale,combined
Jan,2017,13.2,13.2,12.3,12.3,13.5,12.5,14.2,13.028571428571428
Feb,2017,14.8,17.5,13.7,13.1,12.8,13.8,12.5,14.028571428571428
Mar,2017,15.6,15.8,15.2,11.8,17.2,11.7,15.8,14.728571428571428
Apr,2017,12.9,18.02,15.4,12.3,13.2,15.3,13.1,14.317142857142857
May,2017,17.1,12.4,16.5,15.7,14.8,17.0,17.4,15.842857142857143
Jun,2017,12.3,16.1,14.8,14.2,12.5,14.2,11.9,13.714285714285717
Jul,2017,14.8,13.161666666666667,14.57,16.8,16.3,16.5,17.306,15.63395238095238
Aug,2017,13.2,12.5,14.631724137931034,13.9,15.1,13.2,16.2,14.104532019704434
Sep,2017,13.5,12.976764705882353,12.755357142857141,13.93,12.5,14.5,12.3,13.208874549819928
Oct,2017,12.3,13.549795918367346,13.209342105263158,20.613333333333333,13.2,12.8,13.8,14.210353050994835
Nov,2017,12.316666666666668,13.48880341880342,13.5523,15.913333333333332,11.8,15.6,15.2,13.981586202686202
Dec,2017,14.174666666666667,13.0871875,14.002432432432434,11.5,14.7,14.2,11.975555555555555,13.37712030780781
Jan,2018,14.870617283950617,13.34122448979592,14.924166666666666,14.979444444444445,16.3,16.1,11.551666666666668,14.581017078789186
Feb,2018,15.55474358974359,14.104285714285714,15.618018433179724,14.717600000000001,26.265,13.9,13.735635359116023,16.270754728046438
Mar,2018,14.456224489795918,13.855,14.633096446700506,13.49324200913242,26.5,15.2,13.511322751322751,15.949840813850228
Apr,2018,13.38521052631579,13.2,13.692970297029703,13.366577181208054,13.180223880597016,16.5,11.9,13.603568840735795
May,2018,13.28202247191011,14.0,14.031343283582089,12.800714285714285,12.790956521739131,14.8,17.4,14.157862366135086
Jun,2018,12.96448275862069,13.8,12.5,13.18056603773585,12.85391304347826,17.3,14.7,13.899851691404972
Jul,2018,12.384098360655736,12.9,13.8,13.065337837837838,12.595025906735753,12.9,11.866666666666667,12.787304110270858
Aug,2018,12.243798449612404,13.114500000000001,11.9,13.586304347826088,12.531861471861472,18.0,16.3,13.953780609899994
Sep,2018,13.335235602094242,13.375245901639344,14.442192513368985,14.26208163265306,13.167558139534885,13.7,14.2,13.78318768418436
Oct,2018,13.122291666666666,13.37205882352941,13.683962264150944,14.376408163265305,12.987581699346405,13.5,12.8,13.406043230994102
Nov,2018,13.882488687782807,13.15979865771812,14.048844221105526,14.6,13.430470588235293,14.2,15.5,14.117371736405962
Dec,2018,13.658486842105264,13.657413793103448,14.226799999999999,14.068392857142857,13.544459459459459,12.8,13.7,13.665078993115861
Jan,2019,14.836137339055794,13.048461538461538,15.083816425120773,14.298252427184467,14.273353658536585,15.0,16.3,14.69143162690845
Feb,2019,15.66110655737705,12.5,15.816169154228856,15.433050847457626,15.27025,16.3,11.9,14.697225222723363
Mar,2019,15.313229166666666,12.8524,15.331823204419889,14.791104972375692,15.385593220338983,14.7,17.4,15.110592937685889
Apr,2019,15.472420091324201,13.8,15.314791666666666,15.42453125,14.959727272727273,11.9,14.2,14.438781468674021
May,2019,13.047330097087379,14.2,12.316585365853658,12.404529914529913,12.9875,12.5,12.8,12.89370648249585
